4021120,NASHOBA,41,1,Yes
0615270,Glendora Unified,2173,4,Yes
3900107,Washington Park Community School,215,1,Yes
0400389,Kaizen Education Foundation dba Maya High School,434,1,No
2920810,MEXICO 59,1078,3,Yes
3416500,Township of Union School District,3021,6,No
5009570,North Country Junior UHSD #22,235,1,Yes
3412960,Phillipsburg School District,3848,5,Yes
5502550,Chippewa Falls Area Unified School District,2357,4,Yes
3613020,GROTON CENTRAL SCHOOL DISTRICT,416,1,Yes
3901378,Everest High School,50,1,Yes
4702970,Milan,652,1,No
4107740,Marcola SD 79J,135,1,No
3600013,ONEIDA CITY SCHOOL DISTRICT,2000,6,Yes
1705570,Opdyke-Belle-Rive CCSD 5,128,1,Yes
4019080,MARLOW,1429,3,Yes
2635550,Wayland Union Schools,744,2,Yes
3500001,VAUGHN MUNICIPAL SCHOOLS,67,2,Yes
1915630,Keokuk Comm School District,120,1,No
4107710,Mapleton SD 32,73,1,Yes
1500030,Hawaii Department of Education,79531,107,No
0902340,MANSFIELD SCHOOL DISTRICT,546,1,No
3401560,Berkeley Township School District,1206,2,No
4703480,Putnam County,3952,5,No
2700140,HIGHER GROUND ACADEMY,750,2,Yes
3011460,Frazer H S,142,1,Yes
3417100,Robbinsville Public Schools,3153,3,Yes
2509870,Quincy,7320,14,No
3406330,HADDON HEIGHTS School District,577,3,No
3100178,SOUTHWEST PUBLIC SCHOOLS,159,1,Yes
4209270,Ephrata Area SD,1247,1,No
3904567,Yellow Springs Exempted Village,375,1,Yes
4225740,West Perry SD,2411,5,Yes
0624500,Milpitas Unified,3527,7,Yes
2924690,PETTIS CO. R-XII,125,1,Yes
2920820,MIAMI R-I SCHOOL DISTRICT,174,2,Yes
0635090,San Rafael City Elementary,920,2,No
1731310,Perandoe Spec Educ District,64,1,No
5507590,Ladysmith School District,796,3,Yes
4600003,Wilmot School District 54-7,239,3,Yes
3301440,Alton School District,427,1,Yes
4217670,Northern Lehigh SD,1568,4,Yes
0500049,DEQUEEN SCHOOL DISTRICT,2427,5,Yes
3410440,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,972,1,Yes
5100510,BUCHANAN CO PBLC SCHS,1837,5,Yes
1000024,Charter School of New Castle,754,1,Yes
4702010,Huntingdon Special School District,45,1,NA
3703120,Mooresville Graded School District,2545,2,No
5000026,Athens/Grafton Contract School District,73,1,Yes
5310020,Wishram School District,75,1,Yes
4400006,Learning Community,573,1,Yes
4029610,TECUMSEH,2163,5,Yes
1910110,East Buchanan Comm School District,188,1,No
0608370,Chico Unified,6473,7,No
2700296,INTERNATIONAL SPANISH LANGUAGE ACAD,326,1,No
0408230,Superior Unified School District,358,2,No
2607800,Capac Community Schools,501,2,No
3901536,Dayton SMART Elementary School,93,1,Yes
